"annotation_id","annotator","choice","created_at","id","image","lead_time","updated_at"
17859,"1","RBC","2026-03-18T18:25:28.265458Z",506938,"/data/local-files/?d=Users%5CKyle%5CClustered_cell%5Ctile_x001_y001_cell_0001_slide1_5.png",15.702,"2026-03-18T18:25:28.265458Z"
17860,"1","1","2026-03-18T18:25:30.051238Z",506939,"/data/local-files/?d=Users%5CKyle%5CClustered_cell%5Ctile_x001_y001_cell_0001_slide3_7.png",1.58,"2026-03-18T18:25:30.051238Z"
17861,"1","RBC","2026-03-18T18:25:32.082096Z",506940,"/data/local-files/?d=Users%5CKyle%5CClustered_cell%5Ctile_x001_y001_cell_0003_slide1_2.png",1.833,"2026-03-18T18:25:32.082096Z"
17862,"1","RBC","2026-03-18T18:25:34.236710Z",506941,"/data/local-files/?d=Users%5CKyle%5CClustered_cell%5Ctile_x001_y001_cell_0003_slide1_4.png",1.954,"2026-03-18T18:25:34.236710Z"
17863,"1","RBC","2026-03-18T18:25:43.301643Z",506942,"/data/local-files/?d=Users%5CKyle%5CClustered_cell%5Ctile_x001_y001_cell_0003_slide1_5.png",8.868,"2026-03-18T18:25:43.301643Z"
17864,"1","RBC","2026-03-18T18:25:44.956224Z",506943,"/data/local-files/?d=Users%5CKyle%5CClustered_cell%5Ctile_x001_y001_cell_0003_slide1_6.png",1.444,"2026-03-18T18:25:44.956224Z"
17865,"1","0","2026-03-18T18:25:48.301729Z",506944,"/data/local-files/?d=Users%5CKyle%5CClustered_cell%5Ctile_x001_y001_cell_0003_slide2_3.png",3.146,"2026-03-18T18:25:48.301729Z"
17866,"1","0","2026-03-18T18:25:51.408996Z",506945,"/data/local-files/?d=Users%5CKyle%5CClustered_cell%5Ctile_x001_y001_cell_0003_slide2_4.png",2.91,"2026-03-18T18:25:51.408996Z"
17867,"1","0","2026-03-18T18:25:52.574175Z",506946,"/data/local-files/?d=Users%5CKyle%5CClustered_cell%5Ctile_x001_y001_cell_0004_slide1_2.png",0.969,"2026-03-18T18:25:52.574175Z"
17868,"1","0","2026-03-18T18:25:53.516819Z",506947,"/data/local-files/?d=Users%5CKyle%5CClustered_cell%5Ctile_x001_y001_cell_0004_slide1_4.png",0.744,"2026-03-18T18:25:53.516819Z"
17869,"1","RBC","2026-03-18T18:25:56.011609Z",506948,"/data/local-files/?d=Users%5CKyle%5CClustered_cell%5Ctile_x001_y001_cell_0004_slide1_5.png",2.298,"2026-03-18T18:25:56.011609Z"
17870,"1","0","2026-03-18T18:25:59.549091Z",506949,"/data/local-files/?d=Users%5CKyle%5CClustered_cell%5Ctile_x001_y001_cell_0005_slide1_4.png",3.341,"2026-03-18T18:25:59.549091Z"
17871,"1","0","2026-03-18T18:26:04.310256Z",506950,"/data/local-files/?d=Users%5CKyle%5CClustered_cell%5Ctile_x001_y001_cell_0005_slide1_5.png",4.56,"2026-03-18T18:26:04.310256Z"
17872,"1","0","2026-03-18T18:26:05.395524Z",506951,"/data/local-files/?d=Users%5CKyle%5CClustered_cell%5Ctile_x001_y001_cell_0005_slide2_2.png",0.886,"2026-03-18T18:26:05.395524Z"
17873,"1","0","2026-03-18T18:26:06.405162Z",506952,"/data/local-files/?d=Users%5CKyle%5CClustered_cell%5Ctile_x001_y001_cell_0005_slide2_3.png",0.827,"2026-03-18T18:26:06.405162Z"
17874,"1","0","2026-03-18T18:26:07.420800Z",506953,"/data/local-files/?d=Users%5CKyle%5CClustered_cell%5Ctile_x001_y001_cell_0005_slide2_4.png",0.824,"2026-03-18T18:26:07.420800Z"
17875,"1","0","2026-03-18T18:26:08.389283Z",506954,"/data/local-files/?d=Users%5CKyle%5CClustered_cell%5Ctile_x001_y001_cell_0006_slide1_4.png",0.78,"2026-03-18T18:26:08.389283Z"
17876,"1","0","2026-03-18T18:26:11.262107Z",506955,"/data/local-files/?d=Users%5CKyle%5CClustered_cell%5Ctile_x001_y001_cell_0006_slide1_5.png",2.681,"2026-03-18T18:26:11.262107Z"
17877,"1","0","2026-03-18T18:26:14.653225Z",506956,"/data/local-files/?d=Users%5CKyle%5CClustered_cell%5Ctile_x001_y001_cell_0006_slide1_6.png",3.195,"2026-03-18T18:26:14.653225Z"
17878,"1","0","2026-03-18T18:26:16.508332Z",506957,"/data/local-files/?d=Users%5CKyle%5CClustered_cell%5Ctile_x001_y001_cell_0006_slide2_1.png",1.665,"2026-03-18T18:26:16.508332Z"
17879,"1","0","2026-03-18T18:26:17.853282Z",506958,"/data/local-files/?d=Users%5CKyle%5CClustered_cell%5Ctile_x001_y001_cell_0006_slide2_2.png",1.151,"2026-03-18T18:26:17.853282Z"
17880,"1","0","2026-03-18T18:26:18.925288Z",506959,"/data/local-files/?d=Users%5CKyle%5CClustered_cell%5Ctile_x001_y001_cell_0006_slide2_3.png",0.876,"2026-03-18T18:26:18.925288Z"
17881,"1","RBC","2026-03-18T18:26:20.533280Z",506960,"/data/local-files/?d=Users%5CKyle%5CClustered_cell%5Ctile_x001_y001_cell_0006_slide3_3.png",1.397,"2026-03-18T18:26:20.533280Z"
17882,"1","0","2026-03-18T18:26:21.788923Z",506961,"/data/local-files/?d=Users%5CKyle%5CClustered_cell%5Ctile_x001_y001_cell_0007_slide1_3.png",1.054,"2026-03-18T18:26:21.788923Z"
17883,"1","0","2026-03-18T18:26:23.494940Z",506962,"/data/local-files/?d=Users%5CKyle%5CClustered_cell%5Ctile_x001_y001_cell_0007_slide2_7.png",1.286,"2026-03-18T18:26:23.494940Z"
17884,"1","0","2026-03-18T18:26:24.537174Z",506963,"/data/local-files/?d=Users%5CKyle%5CClustered_cell%5Ctile_x001_y001_cell_0008_slide1_3.png",0.805,"2026-03-18T18:26:24.537174Z"
17885,"1","0","2026-03-18T18:26:25.628020Z",506964,"/data/local-files/?d=Users%5CKyle%5CClustered_cell%5Ctile_x001_y001_cell_0008_slide1_4.png",0.684,"2026-03-18T18:26:25.628020Z"
17886,"1","2","2026-03-18T18:26:28.899340Z",506965,"/data/local-files/?d=Users%5CKyle%5CClustered_cell%5Ctile_x001_y001_cell_0008_slide1_5.png",2.768,"2026-03-18T18:26:28.899340Z"
