"annotation_id","annotator","choice","created_at","id","image","lead_time","updated_at"
3,"1","Unusable","2026-02-11T20:02:48.815661Z",56157,"/data/local-files/?d=Users%5CKyle%5CMMA_batch1%5Ccontrast_1.0%5CSlide%201-1%5Ctile_x001_y001_cell_0001.png",208.72,"2026-02-11T20:02:48.815661Z"
4,"1","Lymphocyte?","2026-02-11T20:02:53.114024Z",56158,"/data/local-files/?d=Users%5CKyle%5CMMA_batch1%5Ccontrast_1.0%5CSlide%201-2%5Ctile_x001_y001_cell_0001.png",4.007,"2026-02-11T20:02:53.114024Z"
5,"1","Unusable","2026-02-11T20:02:55.094713Z",56159,"/data/local-files/?d=Users%5CKyle%5CMMA_batch1%5Ccontrast_1.0%5CSlide%201-3%5Ctile_x001_y001_cell_0001.png",1.695,"2026-02-11T20:02:55.094713Z"
6,"1","Unusable","2026-02-11T20:02:56.990220Z",56160,"/data/local-files/?d=Users%5CKyle%5CMMA_batch1%5Ccontrast_1.0%5CSlide%201-4%5Ctile_x001_y001_cell_0001.png",1.606,"2026-02-11T20:02:56.990220Z"
7,"1","Clustered cell","2026-02-11T20:03:00.204781Z",56161,"/data/local-files/?d=Users%5CKyle%5CMMA_batch1%5Ccontrast_1.0%5CSlide%201-5%5Ctile_x001_y001_cell_0001.png",2.943,"2026-02-11T20:03:00.204781Z"
8,"1","Monocyte with RBC","2026-02-11T20:03:03.324854Z",56162,"/data/local-files/?d=Users%5CKyle%5CMMA_batch1%5Ccontrast_1.0%5CSlide%201-6%5Ctile_x001_y001_cell_0001.png",2.851,"2026-02-11T20:03:03.324854Z"
9,"1","Unusable","2026-02-11T20:03:07.308138Z",56163,"/data/local-files/?d=Users%5CKyle%5CMMA_batch1%5Ccontrast_1.0%5CSlide%201-7%5Ctile_x001_y001_cell_0001.png",3.729,"2026-02-11T20:03:07.308138Z"
10,"1","Monocyte without RBC","2026-02-11T20:03:11.349138Z",56164,"/data/local-files/?d=Users%5CKyle%5CMMA_batch1%5Ccontrast_1.0%5CSlide%201-8%5Ctile_x001_y001_cell_0001.png",3.761,"2026-02-11T20:03:11.349138Z"
11,"1","Clustered cell","2026-02-11T20:03:15.726138Z",56165,"/data/local-files/?d=Users%5CKyle%5CMMA_batch1%5Ccontrast_1.0%5CSlide%202-1%5Ctile_x001_y001_cell_0001.png",4.126,"2026-02-11T20:03:15.726138Z"
12,"1","Unusable","2026-02-11T20:03:19.427016Z",56166,"/data/local-files/?d=Users%5CKyle%5CMMA_batch1%5Ccontrast_1.0%5CSlide%202-2%5Ctile_x001_y001_cell_0001.png",3.418,"2026-02-11T20:03:19.427016Z"
13,"1","Lymphocyte?","2026-02-11T20:03:26.052456Z",56167,"/data/local-files/?d=Users%5CKyle%5CMMA_batch1%5Ccontrast_1.0%5CSlide%202-3%5Ctile_x001_y001_cell_0001.png",6.349,"2026-02-11T20:03:26.052456Z"
14,"1","Unusable","2026-02-11T20:05:06.736718Z",56168,"/data/local-files/?d=Users%5CKyle%5CMMA_batch1%5Ccontrast_1.0%5CSlide%202-4%5Ctile_x001_y001_cell_0001.png",100.41,"2026-02-11T20:05:06.736718Z"
15,"1","Lymphocyte?","2026-02-11T20:05:11.378717Z",56169,"/data/local-files/?d=Users%5CKyle%5CMMA_batch1%5Ccontrast_1.0%5CSlide%202-5%5Ctile_x001_y001_cell_0001.png",4.373,"2026-02-11T20:05:11.378717Z"
16,"1","Monocyte without RBC","2026-02-11T20:05:14.433718Z",56170,"/data/local-files/?d=Users%5CKyle%5CMMA_batch1%5Ccontrast_1.0%5CSlide%202-6%5Ctile_x001_y001_cell_0001.png",2.77,"2026-02-11T20:05:14.433718Z"
17,"1","Lymphocyte?","2026-02-11T20:05:16.454231Z",56171,"/data/local-files/?d=Users%5CKyle%5CMMA_batch1%5Ccontrast_1.0%5CSlide%202-7%5Ctile_x001_y001_cell_0001.png",1.745,"2026-02-11T20:05:16.454231Z"
18,"1","Unusable","2026-02-11T20:05:21.347330Z",56172,"/data/local-files/?d=Users%5CKyle%5CMMA_batch1%5Ccontrast_1.0%5CSlide%202-8%5Ctile_x001_y001_cell_0001.png",4.611,"2026-02-11T20:05:21.347330Z"
19,"1","Unusable","2026-02-11T20:05:22.869281Z",56173,"/data/local-files/?d=Users%5CKyle%5CMMA_batch1%5Ccontrast_1.0%5CSlide%203-1%5Ctile_x001_y001_cell_0001.png",1.245,"2026-02-11T20:05:22.869281Z"
20,"1","Unusable","2026-02-11T20:05:24.081427Z",56174,"/data/local-files/?d=Users%5CKyle%5CMMA_batch1%5Ccontrast_1.0%5CSlide%203-2%5Ctile_x001_y001_cell_0001.png",0.932,"2026-02-11T20:05:24.081427Z"
21,"1","Monocyte with RBC","2026-02-11T20:05:25.821181Z",56175,"/data/local-files/?d=Users%5CKyle%5CMMA_batch1%5Ccontrast_1.0%5CSlide%203-3%5Ctile_x001_y001_cell_0001.png",1.478,"2026-02-11T20:05:25.821181Z"
22,"1","Monocyte with RBC","2026-02-11T20:05:28.098578Z",56176,"/data/local-files/?d=Users%5CKyle%5CMMA_batch1%5Ccontrast_1.0%5CSlide%203-4%5Ctile_x001_y001_cell_0001.png",2.0,"2026-02-11T20:05:28.098578Z"
23,"1","Unusable","2026-02-11T20:05:29.523706Z",56177,"/data/local-files/?d=Users%5CKyle%5CMMA_batch1%5Ccontrast_1.0%5CSlide%203-5%5Ctile_x001_y001_cell_0001.png",1.144,"2026-02-11T20:05:29.523706Z"
24,"1","Unusable","2026-02-11T20:05:30.836306Z",56178,"/data/local-files/?d=Users%5CKyle%5CMMA_batch1%5Ccontrast_1.0%5CSlide%203-6%5Ctile_x001_y001_cell_0001.png",1.032,"2026-02-11T20:05:30.836306Z"
25,"1","Monocyte with RBC","2026-02-11T20:05:32.912950Z",56179,"/data/local-files/?d=Users%5CKyle%5CMMA_batch1%5Ccontrast_1.0%5CSlide%203-7%5Ctile_x001_y001_cell_0001.png",1.801,"2026-02-11T20:05:32.912950Z"
26,"1","Unusable","2026-02-11T20:05:34.409579Z",56180,"/data/local-files/?d=Users%5CKyle%5CMMA_batch1%5Ccontrast_1.0%5CSlide%203-8%5Ctile_x001_y001_cell_0001.png",1.21,"2026-02-11T20:05:34.409579Z"
27,"1","Unusable","2026-02-11T20:05:35.706893Z",56181,"/data/local-files/?d=Users%5CKyle%5CMMA_batch1%5Ccontrast_1.0%5CSlide%201-1%5Ctile_x001_y001_cell_0002.png",1.02,"2026-02-11T20:05:35.706893Z"
28,"1","Monocyte without RBC","2026-02-11T20:05:41.728402Z",56182,"/data/local-files/?d=Users%5CKyle%5CMMA_batch1%5Ccontrast_1.0%5CSlide%201-2%5Ctile_x001_y001_cell_0002.png",5.742,"2026-02-11T20:05:41.728402Z"
29,"1","Unusable","2026-02-11T20:05:42.967402Z",56183,"/data/local-files/?d=Users%5CKyle%5CMMA_batch1%5Ccontrast_1.0%5CSlide%201-3%5Ctile_x001_y001_cell_0002.png",0.965,"2026-02-11T20:05:42.967402Z"
