"annotation_id","annotator","choice","created_at","id","image","lead_time","updated_at"

3,"1","Unusable","2026-02-11T20:02:48.815661Z",56157,"/data/local-files/?d=Users%5CKyle%5CMMA_batch1%5Ccontrast_1.0%5CSlide%201-1%5Ctile_x001_y001_cell_0001.png",208.72,"2026-02-11T20:02:48.815661Z"

4,"1","Lymphocyte?","2026-02-11T20:02:53.114024Z",56158,"/data/local-files/?d=Users%5CKyle%5CMMA_batch1%5Ccontrast_1.0%5CSlide%201-2%5Ctile_x001_y001_cell_0001.png",4.007,"2026-02-11T20:02:53.114024Z"

5,"1","Unusable","2026-02-11T20:02:55.094713Z",56159,"/data/local-files/?d=Users%5CKyle%5CMMA_batch1%5Ccontrast_1.0%5CSlide%201-3%5Ctile_x001_y001_cell_0001.png",1.695,"2026-02-11T20:02:55.094713Z"

6,"1","Unusable","2026-02-11T20:02:56.990220Z",56160,"/data/local-files/?d=Users%5CKyle%5CMMA_batch1%5Ccontrast_1.0%5CSlide%201-4%5Ctile_x001_y001_cell_0001.png",1.606,"2026-02-11T20:02:56.990220Z"

7,"1","Clustered cell","2026-02-11T20:03:00.204781Z",56161,"/data/local-files/?d=Users%5CKyle%5CMMA_batch1%5Ccontrast_1.0%5CSlide%201-5%5Ctile_x001_y001_cell_0001.png",2.943,"2026-02-11T20:03:00.204781Z"

8,"1","Monocyte with RBC","2026-02-11T20:03:03.324854Z",56162,"/data/local-files/?d=Users%5CKyle%5CMMA_batch1%5Ccontrast_1.0%5CSlide%201-6%5Ctile_x001_y001_cell_0001.png",2.851,"2026-02-11T20:03:03.324854Z"

9,"1","Unusable","2026-02-11T20:03:07.308138Z",56163,"/data/local-files/?d=Users%5CKyle%5CMMA_batch1%5Ccontrast_1.0%5CSlide%201-7%5Ctile_x001_y001_cell_0001.png",3.729,"2026-02-11T20:03:07.308138Z"

10,"1","Monocyte without RBC","2026-02-11T20:03:11.349138Z",56164,"/data/local-files/?d=Users%5CKyle%5CMMA_batch1%5Ccontrast_1.0%5CSlide%201-8%5Ctile_x001_y001_cell_0001.png",3.761,"2026-02-11T20:03:11.349138Z"

11,"1","Clustered cell","2026-02-11T20:03:15.726138Z",56165,"/data/local-files/?d=Users%5CKyle%5CMMA_batch1%5Ccontrast_1.0%5CSlide%202-1%5Ctile_x001_y001_cell_0001.png",4.126,"2026-02-11T20:03:15.726138Z"

12,"1","Unusable","2026-02-11T20:03:19.427016Z",56166,"/data/local-files/?d=Users%5CKyle%5CMMA_batch1%5Ccontrast_1.0%5CSlide%202-2%5Ctile_x001_y001_cell_0001.png",3.418,"2026-02-11T20:03:19.427016Z"

13,"1","Lymphocyte?","2026-02-11T20:03:26.052456Z",56167,"/data/local-files/?d=Users%5CKyle%5CMMA_batch1%5Ccontrast_1.0%5CSlide%202-3%5Ctile_x001_y001_cell_0001.png",6.349,"2026-02-11T20:03:26.052456Z"

