"annotation_id","annotator","choice","created_at","id","image","lead_time","updated_at"
16898,"1","1","2026-03-17T05:40:10.296177Z",505977,"/data/local-files/?d=Users%5CKyle%5CMonocyte_with_RBC%5Ctile_x001_y001_cell_0001_slide1_6.png",2.612,"2026-03-17T05:40:10.296177Z"
16899,"1","1","2026-03-17T05:40:11.224821Z",505978,"/data/local-files/?d=Users%5CKyle%5CMonocyte_with_RBC%5Ctile_x001_y001_cell_0001_slide3_3.png",0.705,"2026-03-17T05:40:11.224821Z"
16900,"1","1","2026-03-17T05:40:12.267894Z",505979,"/data/local-files/?d=Users%5CKyle%5CMonocyte_with_RBC%5Ctile_x001_y001_cell_0001_slide3_4.png",0.838,"2026-03-17T05:40:12.267894Z"
16901,"1","1","2026-03-17T05:40:13.270571Z",505980,"/data/local-files/?d=Users%5CKyle%5CMonocyte_with_RBC%5Ctile_x001_y001_cell_0004_slide3_8.png",0.791,"2026-03-17T05:40:13.270571Z"
16902,"1","1","2026-03-17T05:40:14.216567Z",505981,"/data/local-files/?d=Users%5CKyle%5CMonocyte_with_RBC%5Ctile_x001_y001_cell_0005_slide1_7.png",0.743,"2026-03-17T05:40:14.216567Z"
16903,"1","1","2026-03-17T05:40:15.327373Z",505982,"/data/local-files/?d=Users%5CKyle%5CMonocyte_with_RBC%5Ctile_x001_y001_cell_0006_slide1_7.png",0.905,"2026-03-17T05:40:15.327373Z"
16904,"1","3","2026-03-17T05:40:17.044635Z",505983,"/data/local-files/?d=Users%5CKyle%5CMonocyte_with_RBC%5Ctile_x001_y001_cell_0007_slide1_2.png",1.528,"2026-03-17T05:40:17.044635Z"
16905,"1","1","2026-03-17T05:40:18.207600Z",505984,"/data/local-files/?d=Users%5CKyle%5CMonocyte_with_RBC%5Ctile_x001_y001_cell_0008_slide3_7.png",0.947,"2026-03-17T05:40:18.207600Z"
16906,"1","3","2026-03-17T05:40:19.596835Z",505985,"/data/local-files/?d=Users%5CKyle%5CMonocyte_with_RBC%5Ctile_x001_y001_cell_0009_slide3_7.png",0.951,"2026-03-17T05:40:19.596835Z"
16907,"1","1","2026-03-17T05:40:20.604263Z",505986,"/data/local-files/?d=Users%5CKyle%5CMonocyte_with_RBC%5Ctile_x001_y001_cell_0011_slide3_5.png",0.8,"2026-03-17T05:40:20.604263Z"
16908,"1","1","2026-03-17T05:40:21.696860Z",505987,"/data/local-files/?d=Users%5CKyle%5CMonocyte_with_RBC%5Ctile_x001_y001_cell_0013_slide1_1.png",0.903,"2026-03-17T05:40:21.696860Z"
16909,"1","1","2026-03-17T05:40:22.649456Z",505988,"/data/local-files/?d=Users%5CKyle%5CMonocyte_with_RBC%5Ctile_x001_y001_cell_0014_slide3_7.png",0.764,"2026-03-17T05:40:22.649456Z"
16910,"1","1","2026-03-17T05:40:23.595390Z",505989,"/data/local-files/?d=Users%5CKyle%5CMonocyte_with_RBC%5Ctile_x001_y001_cell_0016_slide1_4.png",0.754,"2026-03-17T05:40:23.595390Z"
16911,"1","3","2026-03-17T05:40:24.898558Z",505990,"/data/local-files/?d=Users%5CKyle%5CMonocyte_with_RBC%5Ctile_x001_y001_cell_0019_slide1_2.png",1.107,"2026-03-17T05:40:24.898558Z"
16912,"1","1","2026-03-17T05:40:25.897600Z",505991,"/data/local-files/?d=Users%5CKyle%5CMonocyte_with_RBC%5Ctile_x001_y001_cell_0020_slide1_7.png",0.811,"2026-03-17T05:40:25.897600Z"
16913,"1","1","2026-03-17T05:40:26.863685Z",505992,"/data/local-files/?d=Users%5CKyle%5CMonocyte_with_RBC%5Ctile_x001_y001_cell_0024_slide1_2.png",0.777,"2026-03-17T05:40:26.863685Z"
16914,"1","0","2026-03-17T05:40:28.436095Z",505993,"/data/local-files/?d=Users%5CKyle%5CMonocyte_with_RBC%5Ctile_x001_y001_cell_0027_slide1_4.png",1.382,"2026-03-17T05:40:28.436095Z"
16915,"1","1","2026-03-17T05:40:29.346680Z",505994,"/data/local-files/?d=Users%5CKyle%5CMonocyte_with_RBC%5Ctile_x001_y001_cell_0027_slide3_5.png",0.716,"2026-03-17T05:40:29.346680Z"
16916,"1","1","2026-03-17T05:40:30.255278Z",505995,"/data/local-files/?d=Users%5CKyle%5CMonocyte_with_RBC%5Ctile_x001_y001_cell_0030_slide1_2.png",0.715,"2026-03-17T05:40:30.255278Z"
16917,"1","2","2026-03-17T05:40:31.303288Z",505996,"/data/local-files/?d=Users%5CKyle%5CMonocyte_with_RBC%5Ctile_x001_y001_cell_0035_slide1_4.png",0.848,"2026-03-17T05:40:31.303288Z"
16918,"1","1","2026-03-17T05:40:32.199245Z",505997,"/data/local-files/?d=Users%5CKyle%5CMonocyte_with_RBC%5Ctile_x001_y001_cell_0036_slide1_4.png",0.694,"2026-03-17T05:40:32.199245Z"
16919,"1","1","2026-03-17T05:40:33.235018Z",505998,"/data/local-files/?d=Users%5CKyle%5CMonocyte_with_RBC%5Ctile_x001_y001_cell_0053_slide1_7.png",0.842,"2026-03-17T05:40:33.235018Z"
