architecture,target_size,timestamp,test_acc,unclust_prec,unclust_recall,unclust_f1,clust_prec,clust_recall,clust_f1,nonmono_prec,nonmono_recall,nonmono_f1,macro_f1,weighted_f1,val_acc
resnet18,1500,2026-03-15 18:32,0.8375,0.871,0.8153,0.8422,0.927,0.834,0.8781,0.6565,0.89,0.7556,0.8253,0.8411,0.8301
resnet18,2000,2026-03-15 18:50,0.8468,0.8531,0.8666,0.8598,0.9187,0.8298,0.872,0.7124,0.8453,0.7732,0.835,0.8486,0.8356
resnet18,2500,2026-03-15 19:10,0.8532,0.8547,0.8958,0.8748,0.9302,0.8192,0.8712,0.7197,0.8437,0.7768,0.8409,0.8547,0.8482
resnet18,3000,2026-03-15 19:26,0.8508,0.8575,0.8737,0.8655,0.9123,0.8453,0.8776,0.7242,0.8166,0.7676,0.8369,0.8521,0.8386
resnet34,1500,2026-03-15 19:44,0.8399,0.8465,0.8792,0.8626,0.9454,0.7825,0.8563,0.6788,0.89,0.7702,0.8297,0.8424,0.8271
resnet34,2000,2026-03-15 19:55,0.8492,0.8093,0.9211,0.8616,0.9481,0.8001,0.8679,0.7593,0.815,0.7862,0.8385,0.85,0.8386
resnet34,2500,2026-03-15 20:10,0.8553,0.8576,0.8887,0.8729,0.9283,0.8326,0.8779,0.7235,0.8389,0.777,0.8426,0.8568,0.8482
resnet34,3000,2026-03-15 20:25,0.8631,0.8258,0.9282,0.874,0.933,0.8355,0.8815,0.8058,0.7943,0.8,0.8518,0.8632,0.8482
resnet50,1500,2026-03-15 20:54,0.855,0.8824,0.8406,0.861,0.9297,0.8496,0.8878,0.6947,0.8963,0.7827,0.8438,0.8576,0.8428
resnet50,2000,2026-03-15 21:16,0.8556,0.8746,0.8477,0.8609,0.905,0.8679,0.8861,0.7307,0.8437,0.7831,0.8434,0.8569,0.8489
resnet50,2500,2026-03-15 21:40,0.8538,0.8391,0.9053,0.8709,0.9366,0.8136,0.8707,0.7391,0.8405,0.7866,0.8427,0.8549,0.8537
resnet50,3000,2026-03-15 22:02,0.864,0.8362,0.9187,0.8755,0.9155,0.8566,0.8851,0.8145,0.7703,0.7918,0.8508,0.8637,0.8513
resnet101,1500,2026-03-15 22:33,0.8601,0.8861,0.8477,0.8665,0.9155,0.8651,0.8896,0.7211,0.874,0.7902,0.8488,0.8619,0.844
resnet101,2000,2026-03-15 22:52,0.8625,0.8898,0.8414,0.8649,0.8953,0.8941,0.8947,0.7493,0.8341,0.7894,0.8497,0.8634,0.8458
resnet101,2500,2026-03-15 23:18,0.8637,0.8524,0.8982,0.8747,0.9069,0.8665,0.8862,0.7942,0.7879,0.791,0.8507,0.8638,0.8489
resnet101,3000,2026-03-15 23:43,0.868,0.8608,0.8934,0.8768,0.9062,0.8806,0.8933,0.7981,0.7879,0.7929,0.8543,0.868,0.8634
resnet152,1500,2026-03-15 23:52,0.8459,0.8505,0.8579,0.8542,0.916,0.839,0.8758,0.7143,0.8373,0.7709,0.8336,0.8477,0.841
resnet152,2000,2026-03-16 00:00,0.8556,0.859,0.8658,0.8624,0.9199,0.8517,0.8845,0.7327,0.8437,0.7843,0.8437,0.8571,0.8452
