architecture,target_size,timestamp,test_acc,non_mono_prec,non_mono_recall,non_mono_f1,mono_prec,mono_recall,mono_f1,macro_f1,weighted_f1,tp,tn,fp,fn,val_acc,error
resnet18,1500,2026-03-13 17:42,0.8792,0.6297,0.8788,0.7337,0.9688,0.8792,0.9218,0.8278,0.8862,2359.0,551.0,76.0,324.0,0.8803,
resnet18,2000,2026-03-13 17:47,0.8647,0.5985,0.8676,0.7083,0.9654,0.864,0.9119,0.8101,0.8733,2318.0,544.0,83.0,365.0,0.8712,
resnet18,2500,2026-03-13 17:55,0.89,0.6646,0.8469,0.7447,0.9618,0.9001,0.9299,0.8373,0.8948,2415.0,531.0,96.0,268.0,0.9021,
resnet18,3000,2026-03-13 17:59,0.8831,0.6554,0.807,0.7234,0.9523,0.9009,0.9259,0.8246,0.8875,2417.0,506.0,121.0,266.0,0.8966,
resnet34,1500,2026-03-13 18:08,0.884,0.6455,0.8596,0.7373,0.9644,0.8897,0.9256,0.8314,0.8899,2387.0,539.0,88.0,296.0,0.8894,
resnet34,2000,2026-03-13 18:18,0.8785,0.626,0.8915,0.7355,0.9719,0.8755,0.9212,0.8284,0.886,2349.0,559.0,68.0,334.0,0.8906,
resnet34,2500,2026-03-13 18:22,0.8837,0.6631,0.7847,0.7188,0.9474,0.9068,0.9267,0.8227,0.8873,2433.0,492.0,135.0,250.0,0.8936,
resnet34,3000,2026-03-13 18:29,0.8728,0.6168,0.8676,0.721,0.9658,0.874,0.9176,0.8193,0.8804,2345.0,544.0,83.0,338.0,0.8809,
resnet50,1500,2026-03-13 18:35,0.8535,0.5767,0.8517,0.6877,0.961,0.8539,0.9043,0.796,0.8633,2291.0,534.0,93.0,392.0,0.8567,
resnet50,2000,2026-03-13 18:42,0.8752,0.6271,0.8421,0.7189,0.9599,0.883,0.9198,0.8193,0.8818,2369.0,528.0,99.0,314.0,0.8797,
resnet50,2500,2026-03-13 18:50,0.8716,0.6125,0.8772,0.7213,0.9681,0.8703,0.9166,0.8189,0.8796,2335.0,550.0,77.0,348.0,0.8888,
resnet50,3000,2026-03-13 18:59,0.8967,0.7062,0.7783,0.7405,0.9469,0.9243,0.9355,0.838,0.8986,2480.0,488.0,139.0,203.0,0.9081,
resnet101,1500,2026-03-13 19:10,0.8813,0.6383,0.8612,0.7332,0.9647,0.8859,0.9236,0.8284,0.8876,2377.0,540.0,87.0,306.0,0.8948,
resnet101,2000,2026-03-13 19:18,0.8831,0.6489,0.8341,0.7299,0.9585,0.8945,0.9254,0.8277,0.8884,2400.0,523.0,104.0,283.0,0.8918,
resnet101,2500,2026-03-13 19:24,0.8779,0.6505,0.7687,0.7047,0.9436,0.9035,0.9231,0.8139,0.8817,2424.0,482.0,145.0,259.0,0.8851,
resnet101,3000,2026-03-13 19:35,0.8982,0.7019,0.8038,0.7494,0.9525,0.9202,0.9361,0.8428,0.9008,2469.0,504.0,123.0,214.0,0.9063,
resnet152,1500,2026-03-13 19:50,0.8737,0.6142,0.8963,0.7289,0.9729,0.8684,0.9177,0.8233,0.8819,2330.0,562.0,65.0,353.0,0.8845,
resnet152,2000,2026-03-13 20:00,0.887,0.6511,0.8692,0.7445,0.9668,0.8912,0.9275,0.836,0.8928,2391.0,545.0,82.0,292.0,0.8936,
resnet152,2500,2026-03-13 20:07,0.8637,0.604,0.815,0.6938,0.9529,0.8751,0.9124,0.8031,0.871,2348.0,511.0,116.0,335.0,0.8839,
resnet152,3000,2026-03-13 20:15,0.89,0.6723,0.8182,0.7381,0.9552,0.9068,0.9304,0.8343,0.894,2433.0,513.0,114.0,250.0,0.9039,
efficientnet_b0,1500,2026-03-13 20:26,0.8483,0.5636,0.8836,0.6882,0.9686,0.8401,0.8998,0.794,0.8597,2254.0,554.0,73.0,429.0,0.8646,
efficientnet_b0,2000,2026-03-13 20:35,0.8692,0.609,0.8644,0.7146,0.9649,0.8703,0.9151,0.8149,0.8772,2335.0,542.0,85.0,348.0,0.8906,
efficientnet_b0,2500,2026-03-13 20:42,0.8804,0.6486,0.8038,0.7179,0.9514,0.8982,0.9241,0.821,0.885,2410.0,504.0,123.0,273.0,0.8966,
efficientnet_b0,3000,2026-03-13 20:52,0.8891,0.6786,0.7879,0.7292,0.9485,0.9128,0.9303,0.8297,0.8922,2449.0,494.0,133.0,234.0,0.9045,
efficientnet_b1,1500,2026-03-13 20:56,0.8562,0.6652,0.4848,0.5609,0.8868,0.943,0.914,0.7375,0.8471,2530.0,304.0,323.0,153.0,0.8652,
efficientnet_b1,2000,2026-03-13 21:04,0.8577,0.5918,0.8022,0.6811,0.9496,0.8707,0.9084,0.7948,0.8654,2336.0,503.0,124.0,347.0,0.8791,
efficientnet_b1,2500,2026-03-13 21:17,0.8801,0.642,0.8293,0.7237,0.9572,0.8919,0.9234,0.8236,0.8856,2393.0,520.0,107.0,290.0,0.8954,
efficientnet_b1,3000,2026-03-13 21:29,0.8773,0.6359,0.8246,0.7181,0.9559,0.8897,0.9216,0.8198,0.8831,2387.0,517.0,110.0,296.0,0.8924,
efficientnet_b4,1500,2026-03-13 21:38,0.8616,0.597,0.8293,0.6943,0.9561,0.8692,0.9106,0.8024,0.8696,2332.0,520.0,107.0,351.0,0.8688,
efficientnet_b4,2000,2026-03-13 21:46,0.8604,0.5949,0.8246,0.6912,0.9549,0.8688,0.9098,0.8005,0.8684,2331.0,517.0,110.0,352.0,0.867,
efficientnet_b4,2500,2026-03-13 21:54,0.8683,0.6149,0.815,0.701,0.9532,0.8807,0.9155,0.8082,0.8749,2363.0,511.0,116.0,320.0,0.8881,
efficientnet_b4,3000,2026-03-13 22:03,0.8749,0.6282,0.8325,0.716,0.9576,0.8848,0.9198,0.8179,0.8812,2374.0,522.0,105.0,309.0,0.8815,
convnext_tiny,1500,2026-03-13 22:13,0.9091,0.7362,0.8102,0.7715,0.9546,0.9322,0.9432,0.8573,0.9107,2501.0,508.0,119.0,182.0,0.9172,
convnext_tiny,2000,2026-03-13 22:25,0.9139,0.7537,0.8102,0.7809,0.9549,0.9381,0.9464,0.8637,0.9151,2517.0,508.0,119.0,166.0,0.9135,
convnext_tiny,2500,2026-03-13 22:40,0.8955,0.6754,0.8628,0.7577,0.9657,0.9031,0.9334,0.8455,0.9001,2423.0,541.0,86.0,260.0,0.9051,
convnext_tiny,3000,2026-03-13 22:51,0.9169,0.7866,0.7703,0.7784,0.9466,0.9512,0.9489,0.8636,0.9166,2552.0,483.0,144.0,131.0,0.9226,
convnext_base,1500,2026-03-13 23:06,0.8876,0.6527,0.8692,0.7456,0.9669,0.8919,0.9279,0.8367,0.8933,2393.0,545.0,82.0,290.0,0.8912,
convnext_base,2000,2026-03-13 23:21,0.894,0.6729,0.8565,0.7537,0.9642,0.9027,0.9324,0.8431,0.8986,2422.0,537.0,90.0,261.0,0.9057,
convnext_base,2500,2026-03-13 23:47,0.9091,0.7342,0.815,0.7725,0.9556,0.931,0.9432,0.8578,0.9108,2498.0,511.0,116.0,185.0,0.9166,
convnext_base,3000,2026-03-14 00:17,0.9115,0.7406,0.8198,0.7782,0.9568,0.9329,0.9447,0.8615,0.9132,2503.0,514.0,113.0,180.0,0.9148,
vit_b16,1500,2026-03-14 00:18,,,,,,,,,,,,,,,Wrong image height! Expected 224 but got 256!
vit_b16,2000,2026-03-14 00:18,,,,,,,,,,,,,,,"Run with UUID 7be68bd2413d43a4ab8e787ceacf356e is already active. To start a new run, first end the current run with mlflow.end_run(). To start a nested run, call start_run with nested=True"
vit_b16,2500,2026-03-14 00:18,,,,,,,,,,,,,,,"Run with UUID 7be68bd2413d43a4ab8e787ceacf356e is already active. To start a new run, first end the current run with mlflow.end_run(). To start a nested run, call start_run with nested=True"
vit_b16,3000,2026-03-14 00:18,,,,,,,,,,,,,,,"Run with UUID 7be68bd2413d43a4ab8e787ceacf356e is already active. To start a new run, first end the current run with mlflow.end_run(). To start a nested run, call start_run with nested=True"
