architecture,target_size,timestamp,test_acc,unclust_prec,unclust_recall,unclust_f1,clust_prec,clust_recall,clust_f1,macro_f1,weighted_f1,tp,tn,fp,fn,val_acc
resnet18,1500,2026-03-14 16:14,0.9176,0.8886,0.944,0.9154,0.9469,0.8941,0.9197,0.9176,0.9177,1266,1196,71,150,0.9172
resnet18,2000,2026-03-14 16:26,0.9269,0.9005,0.9503,0.9247,0.9532,0.9061,0.929,0.9269,0.927,1283,1204,63,133,0.9291
resnet18,2500,2026-03-14 16:42,0.9247,0.8936,0.9542,0.9229,0.9564,0.8983,0.9264,0.9247,0.9248,1272,1209,58,144,0.9276
resnet18,3000,2026-03-14 16:59,0.9228,0.9109,0.9274,0.919,0.934,0.9188,0.9263,0.9227,0.9229,1301,1175,92,115,0.9284
resnet34,1500,2026-03-14 17:24,0.924,0.8963,0.9487,0.9218,0.9516,0.9018,0.926,0.9239,0.924,1277,1202,65,139,0.9351
resnet34,2000,2026-03-14 17:46,0.9277,0.9031,0.9487,0.9253,0.9519,0.9089,0.9299,0.9276,0.9277,1287,1202,65,129,0.9351
resnet34,2500,2026-03-14 18:07,0.9247,0.9031,0.9416,0.9219,0.9457,0.9096,0.9273,0.9246,0.9248,1288,1193,74,128,0.9261
resnet34,3000,2026-03-14 18:20,0.9132,0.887,0.9353,0.9105,0.9391,0.8934,0.9157,0.9131,0.9132,1265,1185,82,151,0.9231
resnet50,1500,2026-03-14 18:36,0.9262,0.8998,0.9495,0.924,0.9525,0.9054,0.9283,0.9261,0.9263,1282,1203,64,134,0.9261
resnet50,2000,2026-03-14 18:45,0.9217,0.9087,0.9274,0.918,0.9338,0.9167,0.9252,0.9216,0.9218,1298,1175,92,118,0.9254
resnet50,2500,2026-03-14 18:52,0.9176,0.9092,0.9171,0.9132,0.9253,0.9181,0.9217,0.9174,0.9176,1300,1162,105,116,0.9224
resnet50,3000,2026-03-14 19:06,0.9292,0.9171,0.9345,0.9257,0.9404,0.9244,0.9323,0.929,0.9292,1309,1184,83,107,0.9261
resnet101,1500,2026-03-14 19:17,0.9273,0.9194,0.9274,0.9234,0.9345,0.9273,0.9309,0.9271,0.9273,1313,1175,92,103,0.9291
resnet101,2000,2026-03-14 19:31,0.9288,0.919,0.9313,0.9251,0.9378,0.9266,0.9321,0.9286,0.9288,1312,1180,87,104,0.9306
resnet101,2500,2026-03-14 19:44,0.9307,0.9079,0.9495,0.9282,0.9529,0.9138,0.9329,0.9306,0.9307,1294,1203,64,122,0.9261
resnet101,3000,2026-03-14 19:56,0.9322,0.901,0.9621,0.9305,0.9639,0.9054,0.9337,0.9321,0.9322,1282,1219,48,134,0.9276
resnet152,1500,2026-03-14 20:10,0.9299,0.909,0.9463,0.9273,0.9501,0.9153,0.9324,0.9298,0.93,1296,1199,68,120,0.9299
resnet152,2000,2026-03-14 20:25,0.9262,0.9212,0.9227,0.9219,0.9307,0.9294,0.93,0.926,0.9262,1316,1169,98,100,0.9321
resnet152,2500,2026-03-14 20:38,0.9266,0.8969,0.9542,0.9247,0.9566,0.9018,0.9284,0.9265,0.9266,1277,1209,58,139,0.9358
resnet152,3000,2026-03-14 20:53,0.9359,0.9247,0.9408,0.9327,0.9462,0.9315,0.9388,0.9357,0.9359,1319,1192,75,97,0.9269
efficientnet_b0,1500,2026-03-14 21:04,0.8736,0.8295,0.9219,0.8733,0.9224,0.8305,0.874,0.8736,0.8737,1176,1168,99,240,0.8672
efficientnet_b0,2000,2026-03-14 21:15,0.8904,0.8554,0.9242,0.8885,0.9269,0.8602,0.8923,0.8904,0.8905,1218,1171,96,198,0.897
efficientnet_b0,2500,2026-03-14 21:26,0.8979,0.8595,0.9369,0.8965,0.9386,0.863,0.8992,0.8979,0.8979,1222,1187,80,194,0.9
efficientnet_b0,3000,2026-03-14 21:38,0.8997,0.8675,0.9298,0.8975,0.9328,0.8729,0.9019,0.8997,0.8998,1236,1178,89,180,0.9015
efficientnet_b1,1500,2026-03-14 21:46,0.8565,0.8123,0.9053,0.8563,0.9056,0.8129,0.8567,0.8565,0.8565,1151,1147,120,265,0.8545
efficientnet_b1,2000,2026-03-14 21:58,0.8818,0.8388,0.9282,0.8812,0.929,0.8404,0.8825,0.8818,0.8819,1190,1176,91,226,0.8754
efficientnet_b1,2500,2026-03-14 22:10,0.8848,0.8378,0.9376,0.8849,0.9375,0.8376,0.8847,0.8848,0.8848,1186,1188,79,230,0.8888
efficientnet_b1,3000,2026-03-14 22:23,0.8912,0.845,0.9424,0.891,0.9425,0.8453,0.8913,0.8912,0.8912,1197,1194,73,219,0.8896
efficientnet_b4,1500,2026-03-14 22:36,0.8815,0.8497,0.91,0.8788,0.914,0.8559,0.884,0.8814,0.8816,1212,1153,114,204,0.8828
efficientnet_b4,2000,2026-03-14 22:48,0.8889,0.856,0.9195,0.8866,0.9228,0.8616,0.8912,0.8889,0.889,1220,1165,102,196,0.8933
efficientnet_b4,2500,2026-03-14 23:03,0.9038,0.8723,0.9329,0.9016,0.936,0.8778,0.906,0.9038,0.9039,1243,1182,85,173,0.903
efficientnet_b4,3000,2026-03-14 23:19,0.9023,0.8798,0.9187,0.8988,0.9243,0.8877,0.9056,0.9022,0.9024,1257,1164,103,159,0.9067
convnext_tiny,1500,2026-03-14 23:27,0.918,0.8747,0.9645,0.9174,0.965,0.8764,0.9186,0.918,0.918,1241,1222,45,175,0.9306
convnext_tiny,2000,2026-03-14 23:37,0.9299,0.9134,0.9408,0.9269,0.9456,0.9202,0.9327,0.9298,0.93,1303,1192,75,113,0.9313
convnext_tiny,2500,2026-03-14 23:52,0.934,0.9231,0.9384,0.9307,0.9441,0.9301,0.937,0.9339,0.9341,1317,1189,78,99,0.9291
convnext_tiny,3000,2026-03-15 00:02,0.9281,0.8984,0.9558,0.9262,0.9581,0.9032,0.9298,0.928,0.9281,1279,1211,56,137,0.9254
convnext_base,1500,2026-03-15 00:19,0.9281,0.8978,0.9566,0.9263,0.9587,0.9025,0.9298,0.928,0.9281,1278,1212,55,138,0.9381
convnext_base,2000,2026-03-15 00:34,0.9292,0.9197,0.9313,0.9255,0.9379,0.9273,0.9325,0.929,0.9292,1313,1180,87,103,0.9373
convnext_base,2500,2026-03-15 01:01,0.9314,0.9099,0.9487,0.9289,0.9523,0.916,0.9338,0.9313,0.9315,1297,1202,65,119,0.9351
convnext_base,3000,2026-03-15 01:16,0.9228,0.8891,0.9558,0.9213,0.9576,0.8934,0.9244,0.9228,0.9229,1265,1211,56,151,0.9269
vit_b16,1500,2026-03-15 01:31,0.9135,0.8859,0.9376,0.911,0.9411,0.8919,0.9159,0.9135,0.9136,1263,1188,79,153,0.9067
vit_b16,2000,2026-03-15 01:48,0.915,0.888,0.9384,0.9125,0.942,0.8941,0.9174,0.915,0.9151,1266,1189,78,150,0.9172
vit_b16,2500,2026-03-15 02:07,0.9199,0.8925,0.944,0.9175,0.9471,0.8983,0.9221,0.9198,0.9199,1272,1196,71,144,0.9172
vit_b16,3000,2026-03-15 02:17,0.8945,0.857,0.9321,0.893,0.9341,0.8609,0.896,0.8945,0.8946,1219,1181,86,197,0.8896
