file_path,folder,prob_unclustered,prob_clustered,prob_nonmono,max_probability,prediction,uncertain,label_studio_id
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x007_y004_cell_0024_slide2_7.png,Clustered_cell,0.2315,0.403,0.3655,0.403,Clustered,True,220713
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y004_cell_0137_slide1_5.png,Clustered_cell,0.2281,0.4044,0.3675,0.4044,Clustered,True,63565
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y002_cell_0007_slide1_3.png,Clustered_cell,0.2809,0.3144,0.4047,0.4047,NonMonocyte,True,58225
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x018_y013_cell_0051_slide1_3.png,Clustered_cell,0.2929,0.3015,0.4056,0.4056,NonMonocyte,True,495093
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y003_cell_0026_slide2_6.png,Monocyte_without_RBC,0.3081,0.4071,0.2849,0.4071,Clustered,True,60632
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y003_cell_0007_slide2_3.png,Clustered_cell,0.2389,0.4072,0.3538,0.4072,Clustered,True,60319
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x017_y002_cell_0141_slide1_8.png,Clustered_cell,0.3528,0.2387,0.4084,0.4084,NonMonocyte,True,469885
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y006_cell_0145_slide1_6.png,Clustered_cell,0.2295,0.4094,0.3612,0.4094,Clustered,True,67582
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x018_y012_cell_0039_slide1_4.png,Clustered_cell,0.2354,0.3549,0.4097,0.4097,NonMonocyte,True,494846
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y004_cell_0048_slide1_3.png,Monocyte_without_RBC,0.2935,0.41,0.2965,0.41,Clustered,True,62882
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y001_cell_0065_slide2_4.png,Monocyte_without_RBC,0.4127,0.1816,0.4057,0.4127,Unclustered,True,57240
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y006_cell_0050_slide2_6.png,Clustered_cell,0.2434,0.3424,0.4142,0.4142,NonMonocyte,True,66757
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x017_y006_cell_0190_slide1_4.png,Monocyte_without_RBC,0.4148,0.1668,0.4184,0.4184,NonMonocyte,True,479935
