file_path,folder,mono_probability,prediction,uncertain,label_studio_id,
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y002_cell_0253_slide1_2.png,Clustered_cell,0.4001,NonMonocyte,TRUE,60053,x
D:/MMA_LabelledData/Sliced\Unusable\tile_x001_y003_cell_0045_slide2_6.png,Unusable,0.4003,NonMonocyte,TRUE,60898,x
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y003_cell_0278_slide1_4.png,Clustered_cell,0.4003,NonMonocyte,TRUE,62087,x
D:/MMA_LabelledData/Sliced\Unusable\tile_x007_y004_cell_0028_slide2_3.png,Unusable,0.4003,NonMonocyte,TRUE,220770,x
D:/MMA_LabelledData/Sliced\Unusable\tile_x018_y010_cell_0075_slide1_3.png,Unusable,0.4006,NonMonocyte,TRUE,494486,x
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y006_cell_0029_slide2_3.png,Monocyte_without_RBC,0.4006,NonMonocyte,TRUE,66465,RBC alone
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x007_y004_cell_0050_slide2_4.png,Monocyte_without_RBC,0.4007,NonMonocyte,TRUE,221086,RBC alone
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y003_cell_0064_slide1_2.png,Clustered_cell,0.4007,NonMonocyte,TRUE,61100,Unusable
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x017_y009_cell_0015_slide1_6.png,Monocyte_without_RBC,0.4008,NonMonocyte,TRUE,483964,RBC alone
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x007_y003_cell_0322_slide1_2.png,Monocyte_without_RBC,0.4008,NonMonocyte,TRUE,220218,Clustered
D:/MMA_LabelledData/Sliced\Unusable\tile_x001_y002_cell_0005_slide1_3.png,Unusable,0.401,NonMonocyte,TRUE,58182,x
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x007_y004_cell_0102_slide1_6.png,Clustered_cell,0.4011,NonMonocyte,TRUE,221601,x
D:/MMA_LabelledData/Sliced\Unusable\tile_x001_y002_cell_0067_slide2_3.png,Unusable,0.4012,NonMonocyte,TRUE,59047,x
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y003_cell_0046_slide1_4.png,Clustered_cell,0.4013,NonMonocyte,TRUE,60902,x
D:/MMA_LabelledData/Sliced\Lymphocyte\tile_x001_y002_cell_0004_slide2_3.png,Lymphocyte,0.4014,NonMonocyte,TRUE,58166,RBC alone
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y001_cell_0026_slide1_3.png,Monocyte_without_RBC,0.4015,NonMonocyte,TRUE,56693,unusable
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y006_cell_0043_slide2_2.png,Monocyte_without_RBC,0.4019,NonMonocyte,TRUE,66663,unusable
D:/MMA_LabelledData/Sliced\Unusable\tile_x001_y002_cell_0026_slide1_2.png,Unusable,0.402,NonMonocyte,TRUE,58538,Clustered
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y001_cell_0023_slide2_1.png,Monocyte_without_RBC,0.402,NonMonocyte,TRUE,56645,Unusable~lymphocyte
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y005_cell_0269_slide1_4.png,Monocyte_without_RBC,0.4021,NonMonocyte,TRUE,65882,Unusable
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x007_y004_cell_0045_slide1_8.png,Monocyte_without_RBC,0.4021,NonMonocyte,TRUE,221013,RBC alone
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y007_cell_0013_slide2_8.png,Monocyte_without_RBC,0.4023,NonMonocyte,TRUE,68304,Unusable
D:/MMA_LabelledData/Sliced\Unusable\tile_x001_y002_cell_0081_slide2_1.png,Unusable,0.4028,NonMonocyte,TRUE,59187,MonowithoutRBC
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y001_cell_0285_slide1_5.png,Monocyte_without_RBC,0.4031,NonMonocyte,TRUE,58025,Clustered
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x007_y003_cell_0192_slide1_1.png,Clustered_cell,0.4033,NonMonocyte,TRUE,219840,x
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y001_cell_0040_slide1_6.png,Clustered_cell,0.4034,NonMonocyte,TRUE,56910,x
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x007_y004_cell_0010_slide1_3.png,Monocyte_without_RBC,0.4035,NonMonocyte,TRUE,220473,Unusable~lymphocyte
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x018_y014_cell_0002_slide1_3.png,Monocyte_without_RBC,0.4036,NonMonocyte,TRUE,495161,x
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x018_y012_cell_0010_slide1_4.png,Clustered_cell,0.4036,NonMonocyte,TRUE,494751,x
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y001_cell_0003_slide1_2.png,Clustered_cell,0.4038,NonMonocyte,TRUE,56206,x
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y001_cell_0080_slide2_4.png,Monocyte_without_RBC,0.4039,NonMonocyte,TRUE,57391,x
D:/MMA_LabelledData/Sliced\Unusable\tile_x001_y004_cell_0035_slide2_7.png,Unusable,0.4046,NonMonocyte,TRUE,62711,x
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y003_cell_0010_slide2_1.png,Clustered_cell,0.4048,NonMonocyte,TRUE,60375,x
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x007_y003_cell_0140_slide1_4.png,Monocyte_without_RBC,0.405,NonMonocyte,TRUE,219618,Unusable~Lymphocyte
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x017_y002_cell_0128_slide2_4.png,Monocyte_without_RBC,0.405,NonMonocyte,TRUE,469818,x
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y006_cell_0026_slide2_4.png,Monocyte_without_RBC,0.4052,NonMonocyte,TRUE,66421,RBC alone
D:/MMA_LabelledData/Sliced\Monocyte_without_RBC\tile_x001_y007_cell_0004_slide2_8.png,Monocyte_without_RBC,0.4054,NonMonocyte,TRUE,68126,RBC alone
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y005_cell_0093_slide1_5.png,Clustered_cell,0.4057,NonMonocyte,TRUE,65280,x
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y003_cell_0038_slide1_6.png,Clustered_cell,0.4061,NonMonocyte,TRUE,60792,Unusable
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y006_cell_0004_slide2_4.png,Clustered_cell,0.4062,NonMonocyte,TRUE,66043,Unusable
D:/MMA_LabelledData/Sliced\Unusable\tile_x001_y001_cell_0069_slide2_1.png,Unusable,0.4062,NonMonocyte,TRUE,57278,x
D:/MMA_LabelledData/Sliced\Clustered_cell\tile_x001_y002_cell_0225_slide1_2.png,Clustered_cell,0.4064,NonMonocyte,TRUE,59941,x
D:/MMA_LabelledData/Sliced\Unusable\tile_x001_y002_cell_0018_slide2_3.png,Unusable,0.4065,NonMonocyte,TRUE,58431,x
